ingredient,nutrient,quantity_per_gram,units
"Blackcurrants, raw",Vitamin B5,0.004,GRAMS
"Blackcurrants, raw",Vitamin B7,0.024,GRAMS
"Blackcurrants, raw",Vitamin C,2,GRAMS
"Brazil nuts, kernel only",Protein,0.143,GRAMS
"Brazil nuts, kernel only",Fat,0.682,GRAMS
"Brazil nuts, kernel only",Carbohydrate,0.031,GRAMS
"Brazil nuts, kernel only",kcal,6.83,KCAL
"Brazil nuts, kernel only",Sugars,0.024,GRAMS
"Brazil nuts, kernel only",Fibre,0,GRAMS
"Brazil nuts, kernel only",Fatty acids,0.682,GRAMS
"Brazil nuts, kernel only",Saturated fat,0.174,GRAMS
"Brazil nuts, kernel only",Trans fat,0,GRAMS
"Brazil nuts, kernel only",Sodium,0.03,GRAMS
"Brazil nuts, kernel only",Potassium,6.6,GRAMS
"Brazil nuts, kernel only",Calcium,1.7,GRAMS
"Brazil nuts, kernel only",Magnesium,4.1,GRAMS
"Brazil nuts, kernel only",Phosphorus,5.9,GRAMS
"Brazil nuts, kernel only",Iron,0.025,GRAMS
"Brazil nuts, kernel only",Zinc,0.042,GRAMS
"Brazil nuts, kernel only",Selenium,2.54,GRAMS
"Brazil nuts, kernel only",Iodine,0.2,GRAMS
"Brazil nuts, kernel only",Vitamin D,0,GRAMS
"Brazil nuts, kernel only",Vitamin E,0,GRAMS
"Brazil nuts, kernel only",Vitamin K1,0,GRAMS
"Brazil nuts, kernel only",Vitamin B1,0.007,GRAMS
"Brazil nuts, kernel only",Vitamin B2,0,GRAMS
"Brazil nuts, kernel only",Vitamin B3,0.003,GRAMS
"Brazil nuts, kernel only",Vitamin B6,0.003,GRAMS
"Brazil nuts, kernel only",Vitamin B12,0,GRAMS
"Brazil nuts, kernel only",Vitamin B9,0.21,GRAMS
"Brazil nuts, kernel only",Vitamin B5,0.004,GRAMS
"Brazil nuts, kernel only",Vitamin B7,0.11,GRAMS
"Brazil nuts, kernel only",Vitamin C,0,GRAMS
"Broccoli, green, raw",Protein,0.043,GRAMS
"Broccoli, green, raw",Fat,0.006,GRAMS
"Broccoli, green, raw",Carbohydrate,0.032,GRAMS
"Broccoli, green, raw",kcal,0.34,KCAL
"Broccoli, green, raw",Sugars,0.019,GRAMS
"Broccoli, green, raw",Fibre,0.04,GRAMS
"Broccoli, green, raw",Fatty acids,0.006,GRAMS
"Broccoli, green, raw",Saturated fat,0.002,GRAMS
"Broccoli, green, raw",Trans fat,0,GRAMS
"Broccoli, green, raw",Sodium,0.09,GRAMS
"Broccoli, green, raw",Potassium,3.97,GRAMS
"Broccoli, green, raw",Calcium,0.48,GRAMS
"Broccoli, green, raw",Magnesium,0.22,GRAMS
"Broccoli, green, raw",Phosphorus,0.81,GRAMS
"Broccoli, green, raw",Iron,0.011,GRAMS
"Broccoli, green, raw",Zinc,0.007,GRAMS
"Broccoli, green, raw",Selenium,0.01,GRAMS
"Broccoli, green, raw",Iodine,0.02,GRAMS
"Broccoli, green, raw",Vitamin D,0,GRAMS
"Broccoli, green, raw",Vitamin E,0,GRAMS
"Broccoli, green, raw",Vitamin K1,0,GRAMS
"Broccoli, green, raw",Vitamin B1,0.002,GRAMS
"Broccoli, green, raw",Vitamin B2,0.001,GRAMS
"Broccoli, green, raw",Vitamin B3,0.008,GRAMS
"Broccoli, green, raw",Vitamin B6,0.001,GRAMS
"Broccoli, green, raw",Vitamin B12,0,GRAMS
"Broccoli, green, raw",Vitamin B9,0.95,GRAMS
"Broccoli, green, raw",Vitamin B5,0.006,GRAMS
"Broccoli, green, raw",Vitamin B7,0.041,GRAMS
"Broccoli, green, raw",Vitamin C,0.79,GRAMS
"Broccoli, purple sprouting, raw",Protein,0.039,GRAMS
"Broccoli, purple sprouting, raw",Fat,0.011,GRAMS
"Broccoli, purple sprouting, raw",Carbohydrate,0.026,GRAMS
"Broccoli, purple sprouting, raw",kcal,0.35,KCAL
"Broccoli, purple sprouting, raw",Sugars,0.021,GRAMS
"Broccoli, purple sprouting, raw",Fibre,0,GRAMS
"Broccoli, purple sprouting, raw",Fatty acids,0.011,GRAMS
"Broccoli, purple sprouting, raw",Saturated fat,0.002,GRAMS
"Broccoli, purple sprouting, raw",Trans fat,0,GRAMS
"Broccoli, purple sprouting, raw",Sodium,0.1,GRAMS
"Broccoli, purple sprouting, raw",Potassium,3.8,GRAMS
"Broccoli, purple sprouting, raw",Calcium,2,GRAMS
"Broccoli, purple sprouting, raw",Magnesium,0.24,GRAMS
"Broccoli, purple sprouting, raw",Phosphorus,0.57,GRAMS
"Broccoli, purple sprouting, raw",Iron,0.019,GRAMS
"Broccoli, purple sprouting, raw",Zinc,0.005,GRAMS
"Broccoli, purple sprouting, raw",Selenium,0,GRAMS
"Broccoli, purple sprouting, raw",Iodine,0.02,GRAMS
"Broccoli, purple sprouting, raw",Vitamin D,0,GRAMS
"Broccoli, purple sprouting, raw",Vitamin E,0,GRAMS
"Broccoli, purple sprouting, raw",Vitamin K1,0,GRAMS
"Broccoli, purple sprouting, raw",Vitamin B1,0.001,GRAMS
"Broccoli, purple sprouting, raw",Vitamin B2,0.001,GRAMS
"Broccoli, purple sprouting, raw",Vitamin B3,0.001,GRAMS
"Broccoli, purple sprouting, raw",Vitamin B6,0.003,GRAMS
"Broccoli, purple sprouting, raw",Vitamin B12,0,GRAMS
"Broccoli, purple sprouting, raw",Vitamin B9,1.95,GRAMS
"Broccoli, purple sprouting, raw",Vitamin B5,0.01,GRAMS
"Broccoli, purple sprouting, raw",Vitamin B7,0.005,GRAMS
"Broccoli, purple sprouting, raw",Vitamin C,1.1,GRAMS
"Brussels sprouts, raw",Protein,0.035,GRAMS
"Brussels sprouts, raw",Fat,0.014,GRAMS
"Brussels sprouts, raw",Carbohydrate,0.041,GRAMS
"Brussels sprouts, raw",kcal,0.42,KCAL
"Brussels sprouts, raw",Sugars,0.031,GRAMS
"Brussels sprouts, raw",Fibre,0,GRAMS
"Brussels sprouts, raw",Fatty acids,0.014,GRAMS
"Brussels sprouts, raw",Saturated fat,0.003,GRAMS
"Brussels sprouts, raw",Trans fat,0,GRAMS
"Brussels sprouts, raw",Sodium,0.06,GRAMS
"Brussels sprouts, raw",Potassium,4.5,GRAMS
"Brussels sprouts, raw",Calcium,0.26,GRAMS
"Brussels sprouts, raw",Magnesium,0.08,GRAMS
"Brussels sprouts, raw",Phosphorus,0.77,GRAMS
"Brussels sprouts, raw",Iron,0.007,GRAMS
"Brussels sprouts, raw",Zinc,0.005,GRAMS
"Brussels sprouts, raw",Selenium,0,GRAMS
"Brussels sprouts, raw",Iodine,0.01,GRAMS
"Brussels sprouts, raw",Vitamin D,0,GRAMS
"Brussels sprouts, raw",Vitamin E,0,GRAMS
"Brussels sprouts, raw",Vitamin K1,0,GRAMS
"Brussels sprouts, raw",Vitamin B1,0.002,GRAMS
"Brussels sprouts, raw",Vitamin B2,0.001,GRAMS
"Brussels sprouts, raw",Vitamin B3,0.002,GRAMS
"Brussels sprouts, raw",Vitamin B6,0.004,GRAMS
"Brussels sprouts, raw",Vitamin B12,0,GRAMS
"Brussels sprouts, raw",Vitamin B9,1.35,GRAMS
"Brussels sprouts, raw",Vitamin B5,0.01,GRAMS
"Brussels sprouts, raw",Vitamin B7,0.004,GRAMS
"Brussels sprouts, raw",Vitamin C,1.15,GRAMS
"Cabbage, green, raw",Protein,0.024,GRAMS
"Cabbage, green, raw",Fat,0.002,GRAMS
"Cabbage, green, raw",Carbohydrate,0.041,GRAMS
"Cabbage, green, raw",kcal,0.27,KCAL
"Cabbage, green, raw",Sugars,0.041,GRAMS
"Cabbage, green, raw",Fibre,0.041,GRAMS
"Cabbage, green, raw",Fatty acids,0.002,GRAMS
"Cabbage, green, raw",Saturated fat,0,GRAMS
"Cabbage, green, raw",Trans fat,0,GRAMS
"Cabbage, green, raw",Sodium,0.07,GRAMS
"Cabbage, green, raw",Potassium,2.88,GRAMS
"Cabbage, green, raw",Calcium,0.56,GRAMS
"Cabbage, green, raw",Magnesium,0.14,GRAMS
"Cabbage, green, raw",Phosphorus,0.37,GRAMS
"Cabbage, green, raw",Iron,0.005,GRAMS
"Cabbage, green, raw",Zinc,0.003,GRAMS
"Cabbage, green, raw",Selenium,0.01,GRAMS
"Cabbage, green, raw",Iodine,0.01,GRAMS
"Cabbage, green, raw",Vitamin D,0,GRAMS
"Cabbage, green, raw",Vitamin E,0,GRAMS
"Cabbage, green, raw",Vitamin K1,0,GRAMS
"Cabbage, green, raw",Vitamin B1,0.003,GRAMS
"Cabbage, green, raw",Vitamin B2,0,GRAMS
"Cabbage, green, raw",Vitamin B3,0.006,GRAMS
"Cabbage, green, raw",Vitamin B6,0.001,GRAMS
"Cabbage, green, raw",Vitamin B12,0,GRAMS
"Cabbage, green, raw",Vitamin B9,0.45,GRAMS
"Cabbage, green, raw",Vitamin B5,0.004,GRAMS
"Cabbage, green, raw",Vitamin B7,0.001,GRAMS
"Cabbage, green, raw",Vitamin C,0.48,GRAMS
"Cabbage, red, raw",Protein,0.011,GRAMS
"Cabbage, red, raw",Fat,0.003,GRAMS
"Cabbage, red, raw",Carbohydrate,0.037,GRAMS
"Cabbage, red, raw",kcal,0.21,KCAL
"Cabbage, red, raw",Sugars,0.033,GRAMS
"Cabbage, red, raw",Fibre,0.029,GRAMS
"Cabbage, red, raw",Fatty acids,0.003,GRAMS
"Cabbage, red, raw",Saturated fat,0,GRAMS
"Cabbage, red, raw",Trans fat,0,GRAMS
"Cabbage, red, raw",Sodium,0.08,GRAMS
"Cabbage, red, raw",Potassium,2.5,GRAMS
"Cabbage, red, raw",Calcium,0.6,GRAMS
"Cabbage, red, raw",Magnesium,0.09,GRAMS
"Cabbage, red, raw",Phosphorus,0.37,GRAMS
"Cabbage, red, raw",Iron,0.004,GRAMS
"Cabbage, red, raw",Zinc,0.001,GRAMS
"Cabbage, red, raw",Selenium,0.02,GRAMS
"Cabbage, red, raw",Iodine,0.02,GRAMS
"Cabbage, red, raw",Vitamin D,0,GRAMS
"Cabbage, red, raw",Vitamin E,0,GRAMS
"Cabbage, red, raw",Vitamin K1,0,GRAMS
"Cabbage, red, raw",Vitamin B1,0,GRAMS
"Cabbage, red, raw",Vitamin B2,0,GRAMS
"Cabbage, red, raw",Vitamin B3,0.004,GRAMS
"Cabbage, red, raw",Vitamin B6,0.001,GRAMS
"Cabbage, red, raw",Vitamin B12,0,GRAMS
"Cabbage, red, raw",Vitamin B9,0.39,GRAMS
"Cabbage, red, raw",Vitamin B5,0.003,GRAMS
"Cabbage, red, raw",Vitamin B7,0.001,GRAMS
"Cabbage, red, raw",Vitamin C,0.55,GRAMS
"Cabbage, white, raw",Protein,0.012,GRAMS
"Cabbage, white, raw",Fat,0.001,GRAMS
"Cabbage, white, raw",Carbohydrate,0.048,GRAMS
"Cabbage, white, raw",kcal,0.24,KCAL
"Cabbage, white, raw",Sugars,0.048,GRAMS
"Cabbage, white, raw",Fibre,0.03,GRAMS
"Cabbage, white, raw",Fatty acids,0.001,GRAMS
"Cabbage, white, raw",Saturated fat,0,GRAMS
"Cabbage, white, raw",Trans fat,0,GRAMS
"Cabbage, white, raw",Sodium,0.07,GRAMS
"Cabbage, white, raw",Potassium,2.27,GRAMS
"Cabbage, white, raw",Calcium,0.56,GRAMS
"Cabbage, white, raw",Magnesium,0.12,GRAMS
"Cabbage, white, raw",Phosphorus,0.26,GRAMS
"Cabbage, white, raw",Iron,0.004,GRAMS
"Cabbage, white, raw",Zinc,0.002,GRAMS
"Cabbage, white, raw",Selenium,0.01,GRAMS
"Cabbage, white, raw",Iodine,0.02,GRAMS
"Cabbage, white, raw",Vitamin D,0,GRAMS
"Cabbage, white, raw",Vitamin E,0,GRAMS
"Cabbage, white, raw",Vitamin K1,0,GRAMS
"Cabbage, white, raw",Vitamin B1,0.002,GRAMS
"Cabbage, white, raw",Vitamin B2,0,GRAMS
"Cabbage, white, raw",Vitamin B3,0.003,GRAMS
"Cabbage, white, raw",Vitamin B6,0.001,GRAMS
"Cabbage, white, raw",Vitamin B12,0,GRAMS
"Cabbage, white, raw",Vitamin B9,0.84,GRAMS
"Cabbage, white, raw",Vitamin B5,0.002,GRAMS
"Cabbage, white, raw",Vitamin B7,0.001,GRAMS
"Cabbage, white, raw",Vitamin C,0.47,GRAMS
Caraway seeds,Protein,0.198,GRAMS
Caraway seeds,Fat,0.146,GRAMS
Caraway seeds,Carbohydrate,0,GRAMS
Caraway seeds,kcal,0,KCAL
Caraway seeds,Sugars,0,GRAMS
Caraway seeds,Fibre,0,GRAMS
Caraway seeds,Fatty acids,0.146,GRAMS
Caraway seeds,Saturated fat,0.006,GRAMS
Caraway seeds,Trans fat,0,GRAMS
Caraway seeds,Sodium,0.17,GRAMS
Caraway seeds,Potassium,13.5,GRAMS
Caraway seeds,Calcium,9.5,GRAMS
Caraway seeds,Magnesium,2.6,GRAMS
Caraway seeds,Phosphorus,5.1,GRAMS
Caraway seeds,Iron,0.323,GRAMS
Caraway seeds,Zinc,0.052,GRAMS
Caraway seeds,Selenium,0,GRAMS
Caraway seeds,Iodine,0,GRAMS
Caraway seeds,Vitamin D,0,GRAMS
Caraway seeds,Vitamin E,0,GRAMS
Caraway seeds,Vitamin K1,0,GRAMS
Caraway seeds,Vitamin B1,0.004,GRAMS
Caraway seeds,Vitamin B2,0.004,GRAMS
Caraway seeds,Vitamin B3,0.036,GRAMS
Caraway seeds,Vitamin B6,0,GRAMS
Caraway seeds,Vitamin B12,0,GRAMS
Caraway seeds,Vitamin B9,0,GRAMS
Caraway seeds,Vitamin B5,0,GRAMS
Caraway seeds,Vitamin B7,0,GRAMS
Caraway seeds,Vitamin C,0,GRAMS
"Carrots, young, raw",Protein,0.007,GRAMS
"Carrots, young, raw",Fat,0.005,GRAMS
"Carrots, young, raw",Carbohydrate,0.06,GRAMS
"Carrots, young, raw",kcal,0.3,KCAL
"Carrots, young, raw",Sugars,0.056,GRAMS
"Carrots, young, raw",Fibre,0,GRAMS
"Carrots, young, raw",Fatty acids,0.005,GRAMS
"Carrots, young, raw",Saturated fat,0.001,GRAMS
"Carrots, young, raw",Trans fat,0,GRAMS
"Carrots, young, raw",Sodium,0.4,GRAMS
"Carrots, young, raw",Potassium,2.4,GRAMS
"Carrots, young, raw",Calcium,0.34,GRAMS
"Carrots, young, raw",Magnesium,0.09,GRAMS
"Carrots, young, raw",Phosphorus,0.25,GRAMS
"Carrots, young, raw",Iron,0.004,GRAMS
"Carrots, young, raw",Zinc,0.002,GRAMS
"Carrots, young, raw",Selenium,0.01,GRAMS
"Carrots, young, raw",Iodine,0.02,GRAMS
"Carrots, young, raw",Vitamin D,0,GRAMS
"Carrots, young, raw",Vitamin E,0,GRAMS
"Carrots, young, raw",Vitamin K1,0,GRAMS
"Carrots, young, raw",Vitamin B1,0,GRAMS
"Carrots, young, raw",Vitamin B2,0,GRAMS
"Carrots, young, raw",Vitamin B3,0.002,GRAMS
"Carrots, young, raw",Vitamin B6,0.001,GRAMS
"Carrots, young, raw",Vitamin B12,0,GRAMS
"Carrots, young, raw",Vitamin B9,0.28,GRAMS
"Carrots, young, raw",Vitamin B5,0.003,GRAMS
"Carrots, young, raw",Vitamin B7,0.006,GRAMS
"Carrots, young, raw",Vitamin C,0.04,GRAMS
"Cashew nuts, kernel only, plain",Protein,0.177,GRAMS
"Cashew nuts, kernel only, plain",Fat,0.482,GRAMS
"Cashew nuts, kernel only, plain",Carbohydrate,0.181,GRAMS
"Cashew nuts, kernel only, plain",kcal,5.73,KCAL
"Cashew nuts, kernel only, plain",Sugars,0.046,GRAMS
"Cashew nuts, kernel only, plain",Fibre,0,GRAMS
"Cashew nuts, kernel only, plain",Fatty acids,0.482,GRAMS
"Cashew nuts, kernel only, plain",Saturated fat,0.095,GRAMS
"Cashew nuts, kernel only, plain",Trans fat,0,GRAMS
"Cashew nuts, kernel only, plain",Sodium,0.15,GRAMS
"Cashew nuts, kernel only, plain",Potassium,7.1,GRAMS
"Cashew nuts, kernel only, plain",Calcium,0.32,GRAMS
"Cashew nuts, kernel only, plain",Magnesium,2.7,GRAMS
"Cashew nuts, kernel only, plain",Phosphorus,5.6,GRAMS
"Cashew nuts, kernel only, plain",Iron,0.062,GRAMS
"Cashew nuts, kernel only, plain",Zinc,0.059,GRAMS
"Cashew nuts, kernel only, plain",Selenium,0.29,GRAMS
"Cashew nuts, kernel only, plain",Iodine,0.11,GRAMS
"Cashew nuts, kernel only, plain",Vitamin D,0,GRAMS
"Cashew nuts, kernel only, plain",Vitamin E,0,GRAMS
"Cashew nuts, kernel only, plain",Vitamin K1,0,GRAMS
"Cashew nuts, kernel only, plain",Vitamin B1,0.007,GRAMS
"Cashew nuts, kernel only, plain",Vitamin B2,0.001,GRAMS
"Cashew nuts, kernel only, plain",Vitamin B3,0.012,GRAMS
"Cashew nuts, kernel only, plain",Vitamin B6,0.005,GRAMS
"Cashew nuts, kernel only, plain",Vitamin B12,0,GRAMS
"Cashew nuts, kernel only, plain",Vitamin B9,0.67,GRAMS
"Cashew nuts, kernel only, plain",Vitamin B5,0.011,GRAMS
"Cashew nuts, kernel only, plain",Vitamin B7,0.127,GRAMS
"Cashew nuts, kernel only, plain",Vitamin C,0,GRAMS
"Cauliflower, raw",Protein,0.025,GRAMS
"Cauliflower, raw",Fat,0.004,GRAMS
"Cauliflower, raw",Carbohydrate,0.044,GRAMS
"Cauliflower, raw",kcal,0.3,KCAL
"Cauliflower, raw",Sugars,0.029,GRAMS
"Cauliflower, raw",Fibre,0.018,GRAMS
"Cauliflower, raw",Fatty acids,0.004,GRAMS
"Cauliflower, raw",Saturated fat,0.001,GRAMS
"Cauliflower, raw",Trans fat,0,GRAMS
"Cauliflower, raw",Sodium,0.07,GRAMS
"Cauliflower, raw",Potassium,2.52,GRAMS
"Cauliflower, raw",Calcium,0.17,GRAMS
"Cauliflower, raw",Magnesium,0.12,GRAMS
"Cauliflower, raw",Phosphorus,0.37,GRAMS
"Cauliflower, raw",Iron,0.004,GRAMS
"Cauliflower, raw",Zinc,0.003,GRAMS
"Cauliflower, raw",Selenium,0.01,GRAMS
"Cauliflower, raw",Iodine,0,GRAMS
"Cauliflower, raw",Vitamin D,0,GRAMS
"Cauliflower, raw",Vitamin E,0,GRAMS
"Cauliflower, raw",Vitamin K1,0,GRAMS
"Cauliflower, raw",Vitamin B1,0.001,GRAMS
"Cauliflower, raw",Vitamin B2,0.001,GRAMS
"Cauliflower, raw",Vitamin B3,0.006,GRAMS
"Cauliflower, raw",Vitamin B6,0.001,GRAMS
"Cauliflower, raw",Vitamin B12,0,GRAMS
"Cauliflower, raw",Vitamin B9,0.55,GRAMS
"Cauliflower, raw",Vitamin B5,0.01,GRAMS
"Cauliflower, raw",Vitamin B7,0.017,GRAMS
"Cauliflower, raw",Vitamin C,0.56,GRAMS
"Celeriac, raw",Protein,0.012,GRAMS
"Celeriac, raw",Fat,0.004,GRAMS
"Celeriac, raw",Carbohydrate,0.023,GRAMS
"Celeriac, raw",kcal,0.18,KCAL
"Celeriac, raw",Sugars,0.018,GRAMS
"Celeriac, raw",Fibre,0,GRAMS
"Celeriac, raw",Fatty acids,0.004,GRAMS
"Celeriac, raw",Saturated fat,0,GRAMS
"Celeriac, raw",Trans fat,0,GRAMS
"Celeriac, raw",Sodium,0.91,GRAMS
"Celeriac, raw",Potassium,4.6,GRAMS
"Celeriac, raw",Calcium,0.4,GRAMS
"Celeriac, raw",Magnesium,0.21,GRAMS
"Celeriac, raw",Phosphorus,0.63,GRAMS
"Celeriac, raw",Iron,0.008,GRAMS
"Celeriac, raw",Zinc,0.003,GRAMS
"Celeriac, raw",Selenium,0,GRAMS
"Celeriac, raw",Iodine,0,GRAMS
"Celeriac, raw",Vitamin D,0,GRAMS
"Celeriac, raw",Vitamin E,0,GRAMS
"Celeriac, raw",Vitamin K1,0,GRAMS
"Celeriac, raw",Vitamin B1,0.002,GRAMS
"Celeriac, raw",Vitamin B2,0,GRAMS
"Celeriac, raw",Vitamin B3,0.002,GRAMS
"Celeriac, raw",Vitamin B6,0.001,GRAMS
"Celeriac, raw",Vitamin B12,0,GRAMS
"Celeriac, raw",Vitamin B9,0.51,GRAMS
"Celeriac, raw",Vitamin B5,0,GRAMS
"Celeriac, raw",Vitamin B7,0,GRAMS
"Celeriac, raw",Vitamin C,0.14,GRAMS
"Celery, raw",Protein,0.005,GRAMS
"Celery, raw",Fat,0.001,GRAMS
"Celery, raw",Carbohydrate,0.014,GRAMS
"Celery, raw",kcal,0.09,KCAL
"Celery, raw",Sugars,0.014,GRAMS
"Celery, raw",Fibre,0.015,GRAMS
"Celery, raw",Fatty acids,0.001,GRAMS
"Celery, raw",Saturated fat,0,GRAMS
"Celery, raw",Trans fat,0,GRAMS
"Celery, raw",Sodium,0.77,GRAMS
"Celery, raw",Potassium,3.04,GRAMS
"Celery, raw",Calcium,0.41,GRAMS
"Celery, raw",Magnesium,0.06,GRAMS
"Celery, raw",Phosphorus,0.2,GRAMS
"Celery, raw",Iron,0.001,GRAMS
"Celery, raw",Zinc,0.001,GRAMS
"Celery, raw",Selenium,0,GRAMS
"Celery, raw",Iodine,0.01,GRAMS
"Celery, raw",Vitamin D,0,GRAMS
"Celery, raw",Vitamin E,0,GRAMS
"Celery, raw",Vitamin K1,0,GRAMS
"Celery, raw",Vitamin B1,0,GRAMS
"Celery, raw",Vitamin B2,0,GRAMS
"Celery, raw",Vitamin B3,0.003,GRAMS
"Celery, raw",Vitamin B6,0,GRAMS
"Celery, raw",Vitamin B12,0,GRAMS
"Celery, raw",Vitamin B9,0.11,GRAMS
"Celery, raw",Vitamin B5,0.003,GRAMS
"Celery, raw",Vitamin B7,0.001,GRAMS
"Celery, raw",Vitamin C,0.01,GRAMS
"Chard, Swiss, raw",Protein,0.018,GRAMS
"Chard, Swiss, raw",Fat,0.002,GRAMS
"Chard, Swiss, raw",Carbohydrate,0.029,GRAMS
"Chard, Swiss, raw",kcal,0.19,KCAL
"Chard, Swiss, raw",Sugars,0.006,GRAMS
"Chard, Swiss, raw",Fibre,0,GRAMS
"Chard, Swiss, raw",Fatty acids,0.002,GRAMS
"Chard, Swiss, raw",Saturated fat,0,GRAMS
"Chard, Swiss, raw",Trans fat,0,GRAMS
"Chard, Swiss, raw",Sodium,2.1,GRAMS
"Chard, Swiss, raw",Potassium,3.8,GRAMS
"Chard, Swiss, raw",Calcium,0.51,GRAMS
"Chard, Swiss, raw",Magnesium,0.81,GRAMS
"Chard, Swiss, raw",Phosphorus,0.46,GRAMS
"Chard, Swiss, raw",Iron,0.018,GRAMS
"Chard, Swiss, raw",Zinc,0,GRAMS
"Chard, Swiss, raw",Selenium,0,GRAMS
"Chard, Swiss, raw",Iodine,0,GRAMS
"Chard, Swiss, raw",Vitamin D,0,GRAMS
"Chard, Swiss, raw",Vitamin E,0,GRAMS
"Chard, Swiss, raw",Vitamin K1,0,GRAMS
"Chard, Swiss, raw",Vitamin B1,0,GRAMS
"Chard, Swiss, raw",Vitamin B2,0.001,GRAMS
"Chard, Swiss, raw",Vitamin B3,0.004,GRAMS
"Chard, Swiss, raw",Vitamin B6,0,GRAMS
"Chard, Swiss, raw",Vitamin B12,0,GRAMS
"Chard, Swiss, raw",Vitamin B9,1.65,GRAMS
"Chard, Swiss, raw",Vitamin B5,0.002,GRAMS
"Chard, Swiss, raw",Vitamin B7,0,GRAMS
"Chard, Swiss, raw",Vitamin C,0.3,GRAMS
"Cherries, flesh and skin, raw",Protein,0.012,GRAMS
"Cherries, flesh and skin, raw",Fat,0.004,GRAMS
"Cherries, flesh and skin, raw",Carbohydrate,0.146,GRAMS
"Cherries, flesh and skin, raw",kcal,0.632,KCAL
"Cherries, flesh and skin, raw",Sugars,0.146,GRAMS
"Cherries, flesh and skin, raw",Fibre,0.019,GRAMS
"Cherries, flesh and skin, raw",Fatty acids,0.004,GRAMS
"Cherries, flesh and skin, raw",Saturated fat,0.001,GRAMS
"Cherries, flesh and skin, raw",Trans fat,0,GRAMS
"Cherries, flesh and skin, raw",Sodium,0,GRAMS
"Cherries, flesh and skin, raw",Potassium,2.38,GRAMS
"Cherries, flesh and skin, raw",Calcium,0.115,GRAMS
"Cherries, flesh and skin, raw",Magnesium,0.094,GRAMS
"Cherries, flesh and skin, raw",Phosphorus,0.259,GRAMS
"Cherries, flesh and skin, raw",Iron,0.003,GRAMS
"Cherries, flesh and skin, raw",Zinc,0.001,GRAMS
"Cherries, flesh and skin, raw",Selenium,0,GRAMS
"Cherries, flesh and skin, raw",Iodine,0,GRAMS
"Cherries, flesh and skin, raw",Vitamin D,0,GRAMS
"Cherries, flesh and skin, raw",Vitamin E,0,GRAMS
"Cherries, flesh and skin, raw",Vitamin K1,0,GRAMS
"Cherries, flesh and skin, raw",Vitamin B1,0,GRAMS
"Cherries, flesh and skin, raw",Vitamin B2,0,GRAMS
"Cherries, flesh and skin, raw",Vitamin B3,0.002,GRAMS
"Cherries, flesh and skin, raw",Vitamin B6,0.001,GRAMS
"Cherries, flesh and skin, raw",Vitamin B12,0,GRAMS
"Cherries, flesh and skin, raw",Vitamin B9,0.032,GRAMS
"Cherries, flesh and skin, raw",Vitamin B5,0.003,GRAMS
"Cherries, flesh and skin, raw",Vitamin B7,0.004,GRAMS
"Cherries, flesh and skin, raw",Vitamin C,0.03,GRAMS
Chilli powder,Protein,0.135,GRAMS
Chilli powder,Fat,0.143,GRAMS
Chilli powder,Carbohydrate,0,GRAMS
Chilli powder,kcal,0,KCAL
Chilli powder,Sugars,0.072,GRAMS
Chilli powder,Fibre,0.348,GRAMS
Chilli powder,Fatty acids,0.143,GRAMS
Chilli powder,Saturated fat,0.025,GRAMS
Chilli powder,Trans fat,0,GRAMS
Chilli powder,Sodium,40,GRAMS
Chilli powder,Potassium,19.5,GRAMS
Chilli powder,Calcium,3.3,GRAMS
Chilli powder,Magnesium,1.49,GRAMS
Chilli powder,Phosphorus,3,GRAMS
Chilli powder,Iron,0.173,GRAMS
Chilli powder,Zinc,0.043,GRAMS
Chilli powder,Selenium,0,GRAMS
Chilli powder,Iodine,0,GRAMS
Chilli powder,Vitamin D,0,GRAMS
Chilli powder,Vitamin E,0,GRAMS
Chilli powder,Vitamin K1,0,GRAMS
Chilli powder,Vitamin B1,0.003,GRAMS
Chilli powder,Vitamin B2,0.009,GRAMS
Chilli powder,Vitamin B3,0.116,GRAMS
Chilli powder,Vitamin B6,0.021,GRAMS
Chilli powder,Vitamin B12,0,GRAMS
Chilli powder,Vitamin B9,0.28,GRAMS
Chilli powder,Vitamin B5,0.009,GRAMS
Chilli powder,Vitamin B7,0,GRAMS
Chilli powder,Vitamin C,0.01,GRAMS
Chinese 5 spice,Protein,0.095,GRAMS
Chinese 5 spice,Fat,0.087,GRAMS
Chinese 5 spice,Carbohydrate,0,GRAMS
Chinese 5 spice,kcal,0,KCAL
Chinese 5 spice,Sugars,0,GRAMS
Chinese 5 spice,Fibre,0,GRAMS
Chinese 5 spice,Fatty acids,0.087,GRAMS
Chinese 5 spice,Saturated fat,0,GRAMS
Chinese 5 spice,Trans fat,0,GRAMS
Chinese 5 spice,Sodium,0.63,GRAMS
Chinese 5 spice,Potassium,10.7,GRAMS
Chinese 5 spice,Calcium,10.4,GRAMS
Chinese 5 spice,Magnesium,2.1,GRAMS
Chinese 5 spice,Phosphorus,2.6,GRAMS
Chinese 5 spice,Iron,0.256,GRAMS
Chinese 5 spice,Zinc,0.029,GRAMS
Chinese 5 spice,Selenium,0,GRAMS
Chinese 5 spice,Iodine,0,GRAMS
Chinese 5 spice,Vitamin D,0,GRAMS
Chinese 5 spice,Vitamin E,0,GRAMS
Chinese 5 spice,Vitamin K1,0,GRAMS
Chinese 5 spice,Vitamin B1,0.002,GRAMS
